computeID,SigmaID,Sigma#,DisAxis U,DisAxis V,DisAxis W,DisAngle,Rvec 1,Rvec 2,Rvec 3,BP N1,BP N2,BP N3,planeID,BPFZ A N1,BPFZ A N2,BPFZ A N3,BPFZ B N1,BPFZ B N2,BPFZ B N3,BPFZ Stereo X,BPFZ Stereo Y,A11,A12,A13,A21,A22,A23,A31,A32,A33,B11,B12,B13,B21,B22,B23,B31,B32,B33,numStructsMinimized,minEnergyStructID,minGBenergy,minEnergyStructFname
S3_fcc_N0_n1_1_Al_M99_201228,3,3,1,1,1,60,0.3333333,0.3333333,0.3333333,0,-1,1,S3_fcc_n0_-1_1,1,0,-1,-1,1,0,0.866025,0.5,-2,1,1,-1,-1,-1,0,-1,1,-1,-1,2,-1,-1,-1,1,-1,0,47,249,431,struct_S3_fcc_N0_n1_1_Al_M99_201228.249.out
S3_fcc_N1_0_0_Al_M99_201228,3,3,1,1,1,60,0.3333333,0.3333333,0.3333333,1,0,0,S3_fcc_n1_0_0,1,0,0,-2,1,-2,0.517638,0,0,1,-1,0,1,1,1,0,0,-1,1,0,1,1,4,2,2,-1,62,1,328,struct_S3_fcc_N1_0_0_Al_M99_201228.1.out
S3_fcc_N1_1_1_Al_M99_201228,3,3,1,1,1,60,0.3333333,0.3333333,0.3333333,1,1,1,S3_fcc_n1_1_1,1,1,1,-1,-1,-1,0,0,0,1,-1,-2,1,1,1,1,1,-1,1,0,-1,-1,2,1,1,1,223,553,75,struct_S3_fcc_N1_1_1_Al_M99_201228.553.out
S3_fcc_Nn1_n1_2_Al_M99_201228,3,3,1,1,1,60,0.3333333,0.3333333,0.3333333,-1,-1,2,S3_fcc_n-1_-1_2,2,-1,-1,-1,2,-1,1,0,-1,1,0,-1,-1,-1,-1,-1,2,-1,0,1,-1,-1,-1,1,-2,1,102,249,354,struct_S3_fcc_Nn1_n1_2_Al_M99_201228.249.out
S3_fcc_N3_n1_0_Al_M99_201228,3,3,1,1,1,60,0.3333333,0.3333333,0.3333333,3,-1,0,S3_fcc_n3_-1_0,3,0,-1,-7,5,-4,0.6619765,0.1637967,1,3,2,-1,-3,5,3,-1,0,1,2,3,11,-13,5,7,4,-5,171,127,404,struct_S3_fcc_N3_n1_0_Al_M99_201228.127.out
S3_fcc_N1_n1_1_Al_M99_220118,3,3,1,1,1,60,0.3333333,0.3333333,0.3333333,1,-1,1,S3_fcc_n1_-1_1,5,-1,-1,-1,1,-1,0.7071068,0,1,0,-1,1,2,1,1,-1,1,0,1,-1,2,5,5,5,-1,-1,118,1,361,struct_S3_fcc_N1_n1_1_Al_M99_220118.1.out
S3_fcc_N5_n7_2_Al_M99_201228,3,3,1,1,1,60,0.3333333,0.3333333,0.3333333,5,-7,2,S3_fcc_n5_-7_2,7,-2,-5,-5,7,-2,0.970725,0.240192,-1,-1,-1,3,1,-4,5,-7,2,-1,-1,-1,-1,4,-3,7,-2,-5,187,788,416,struct_S3_fcc_N5_n7_2_Al_M99_201228.788.out
S3_fcc_N1_n5_7_Al_M99_220118,3,3,1,1,1,60,0.3333333,0.3333333,0.3333333,1,-5,7,S3_fcc_n1_-5_7,7,1,-5,-7,5,-1,0.7071068,0.4082483,1,3,2,-31,5,8,1,-5,7,1,2,3,-17,-20,19,7,-5,1,363,129,424,struct_S3_fcc_N1_n5_7_Al_M99_220118.129.out
S3_fcc_Nn3_n1_3_Al_M99_210713,3,3,1,1,1,60,0.3333333,0.3333333,0.3333333,-3,-1,3,S3_fcc_n-3_-1_3,11,-1,-7,-3,3,-1,0.8270415,0.2864956,1,3,2,-11,9,-8,-3,-1,3,1,2,3,-47,4,13,1,-11,7,168,377,425,struct_S3_fcc_Nn3_n1_3_Al_M99_210713.377.out
S3_fcc_N11_8_5_Al_M99_201228,3,3,1,1,1,60,0.3333333,0.3333333,0.3333333,11,8,5,S3_fcc_n11_8_5,11,8,5,-11,-5,-8,0.129613,0.074832,3,-1,-5,-1,2,-1,11,8,5,-1,3,-5,-2,1,1,8,11,5,177,432,206,struct_S3_fcc_N11_8_5_Al_M99_201228.432.out
S3_fcc_N4_3_0_Al_M99_201228,3,3,1,1,1,60,0.3333333,0.3333333,0.3333333,4,3,0,S3_fcc_n4_3_0,14,5,2,-4,0,-3,0.316071,0.078207,-3,4,-1,-3,4,25,4,3,0,-4,1,3,40,-23,61,5,14,2,914,1630,303,struct_S3_fcc_N4_3_0_Al_M99_201228.1630.out
S3_fcc_N29_n7_11_Al_M99_201228,3,3,1,1,1,60,0.3333333,0.3333333,0.3333333,29,-7,11,S3_fcc_n29_-7_11,29,11,-7,-29,7,-11,0.433548,0.250309,1,1,-2,1,23,12,29,-7,11,-1,2,-1,1,12,23,29,11,-7,715,484,388,struct_S3_fcc_N29_n7_11_Al_M99_201228.484.out
S3_fcc_N13_n17_25_Al_M99_201228,3,3,1,1,1,60,0.3333333,0.3333333,0.3333333,13,-17,25,S3_fcc_n13_-17_25,31,1,-11,-25,17,-13,0.652714,0.188422,2,3,1,-92,37,73,13,-17,25,1,3,2,-25,-61,104,31,-11,1,313,389,411,struct_S3_fcc_N13_n17_25_Al_M99_201228.389.out
S5_fcc_N0_n1_3_Al_M99_201228,5,5,1,0,0,36.8698976,0.3333333,0,0,0,-1,3,S5_fcc_n0_-1_3,0,-13,9,0,1,-3,0.8,0.6,0,3,1,-1,0,0,0,-1,3,0,9,13,-1,0,0,0,-13,9,391,775,519,struct_S5_fcc_N0_n1_3_Al_M99_201228.775.out
S5_fcc_N0_n3_11_Al_M99_201228,5,5,1,0,0,36.8698976,0.3333333,0,0,0,-3,11,S5_fcc_n0_-3_11,0,-9,7,0,3,-11,0.83205,0.5547,0,11,3,-1,0,0,0,-3,11,0,7,9,-1,0,0,0,-9,7,491,709,523,struct_S5_fcc_N0_n3_11_Al_M99_201228.709.out
S5_fcc_N0_7_6_Al_M99_201228,5,5,1,0,0,36.8698976,0.3333333,0,0,0,7,6,S5_fcc_n0_7_6,0,-7,6,0,2,-9,0.8574929,0.5144958,-1,0,0,0,-6,7,0,7,6,-1,0,0,0,-9,2,0,2,9,610,885,526,struct_S5_fcc_N0_7_6_Al_M99_201228.885.out
S5_fcc_N0_1_13_Al_M99_201228,5,5,1,0,0,36.8698976,0.3333333,0,0,0,1,13,S5_fcc_n0_1_13,0,-7,11,0,-1,-13,0.970143,0.242536,0,13,-1,-1,0,0,0,1,13,0,11,7,-1,0,0,0,-7,11,470,662,513,struct_S5_fcc_N0_1_13_Al_M99_201228.662.out
S5_fcc_N0_2_1_Al_M99_210715,5,5,1,0,0,36.8698976,0.3333333,0,0,0,2,1,S5_fcc_n0_2_1,0,-2,1,0,1,-2,0.7071068,0.7071068,-1,0,0,0,-1,2,0,2,1,-1,0,0,0,-2,1,0,1,2,199,955,494,struct_S5_fcc_N0_2_1_Al_M99_210715.955.out
S5_fcc_N0_1_2_Al_M99_201228,5,5,1,0,0,36.8698976,0.3333333,0,0,0,1,2,S5_fcc_n0_1_2,0,-1,2,0,-2,-11,0.989949,0.141421,-1,0,0,0,-2,1,0,1,2,-1,0,0,0,-11,-2,0,-2,11,1261,676,496,struct_S5_fcc_N0_1_2_Al_M99_201228.676.out
S5_fcc_N1_n2_1_Al_M99_201228,5,5,1,0,0,36.8698976,0.3333333,0,0,1,-2,1,S5_fcc_n1_-2_1,1,-1,2,-5,-2,-11,0.641716,0.091674,3,2,1,-2,1,4,1,-2,1,3,1,2,-10,-8,19,5,-11,-2,2139,1133,472,struct_S5_fcc_N1_n2_1_Al_M99_201228.1133.out
S5_fcc_N1_0_0_Al_M99_210715,5,5,1,0,0,36.8698976,0.3333333,0,0,1,0,0,S5_fcc_n1_0_0,1,0,0,-1,0,0,0,0,0,1,3,0,-3,1,1,0,0,0,-1,3,0,-3,-1,1,0,0,65,33,326,struct_S5_fcc_N1_0_0_Al_M99_210715.33.out
S5_fcc_N3_1_2_Al_M99_201228,5,5,1,0,0,36.8698976,0.3333333,0,0,3,1,2,S5_fcc_n3_1_2,3,-1,2,-15,-2,-11,0.328346,0.046907,-3,7,1,-13,-9,24,3,1,2,-3,5,5,-65,-108,69,15,-2,11,215,129,354,struct_S5_fcc_N3_1_2_Al_M99_201228.129.out
S5_fcc_N5_1_13_Al_M99_201228,5,5,1,0,0,36.8698976,0.3333333,0,0,5,1,13,S5_fcc_n5_1_13,5,-7,11,-5,-1,-13,0.666998,0.1667495,-7,9,2,-115,-101,52,5,1,13,-7,6,7,-115,-112,-19,5,-7,11,825,385,484,struct_S5_fcc_N5_1_13_Al_M99_201228.385.out
S5_fcc_N5_4_7_Al_M99_210715,5,5,1,0,0,36.8698976,0.3333333,0,0,5,4,7,S5_fcc_n5_4_7,5,-4,7,-5,-1,-8,0.5457158,0.1091432,-3,2,1,-5,-13,11,5,4,7,-3,1,2,-5,-17,1,5,-1,8,779,1119,453,struct_S5_fcc_N5_4_7_Al_M99_210715.1119.out
S5_fcc_N10_1_23_Al_M99_201228,5,5,1,0,0,36.8698976,0.3333333,0,0,10,1,23,S5_fcc_n10_1_23,10,-13,19,-10,-1,-23,0.630657,0.180188,-5,4,2,-2,-3,1,10,1,23,-5,2,4,-2,-3,-1,10,-13,19,976,254,478,struct_S5_fcc_N10_1_23_Al_M99_201228.254.out
S5_fcc_Nn15_n11_37_Al_M99_201228,5,5,1,0,0,36.8698976,0.3333333,0,0,-15,-11,37,S5_fcc_n-15_-11_37,15,-31,23,-15,11,-37,0.560563,0.392394,1,2,1,-85,52,-19,-15,-11,37,1,1,2,-85,53,16,-15,-31,23,1140,303,478,struct_S5_fcc_Nn15_n11_37_Al_M99_201228.303.out
S5_fcc_N15_11_3_Al_M99_201228,5,5,1,0,0,36.8698976,0.3333333,0,0,15,11,3,S5_fcc_n15_11_3,15,-9,7,-15,3,-11,0.2803318,0.1868879,-2,3,-1,-20,9,67,15,11,3,-2,3,1,-20,-33,59,15,7,9,603,25,393,struct_S5_fcc_N15_11_3_Al_M99_201228.25.out
