computeID,SigmaID,Sigma#,DisAxis U,DisAxis V,DisAxis W,DisAngle,Rvec 1,Rvec 2,Rvec 3,BP N1,BP N2,BP N3,planeID,BPFZ A N1,BPFZ A N2,BPFZ A N3,BPFZ B N1,BPFZ B N2,BPFZ B N3,BPFZ Stereo X,BPFZ Stereo Y,A11,A12,A13,A21,A22,A23,A31,A32,A33,B11,B12,B13,B21,B22,B23,B31,B32,B33,numStructsMinimized,minEnergyStructID,minGBenergy,minEnergyStructFname
S253g_fcc_N36_n87_109_Al_M99_200714,253g,253,11,5,5,48.5431866,0.3793103,0.1724138,0.1724138,36,-87,109,S253g_fcc_n36_-87_109,36,109,-87,-91,-12,111,0.1445161,0.2344951,-3,-5,-3,806,-219,-441,36,-87,109,-3,-3,-5,591,419,-606,91,-111,12,6464,5399,507,struct_S253g_fcc_N36_n87_109_Al_M99_200714.5399.out
S559q_fcc_Nn17_77_153_Al_M99_200714,559q,559,11,9,4,52.4092035,0.3666667,0.3,0.1333333,-17,77,153,S559q_fcc_n-17_77_153,69,-29,155,17,-77,-153,0.2668524,-0.5637018,-32,-17,5,2986,-4811,2753,-17,77,153,-23,-28,5,4195,-3910,-2599,69,-29,155,21914,4045,364,struct_S559q_fcc_Nn17_77_153_Al_M99_200714.4045.out
S85c_fcc_Nn3_99_115_Al_M99_200714,85c,85,5,5,1,45.572996,0.2941176,0.2941176,0.0588235,-3,99,115,S85c_fcc_n-3_99_115,99,-3,115,-29,-63,-135,0.4684668,0.698064,31,-13,12,2683,3601,-3030,-3,99,115,32,-9,-13,838,5139,-1495,63,29,135,4234,1631,455,struct_S85c_fcc_Nn3_99_115_Al_M99_200714.1631.out
S29a_fcc_N29_n34_31_Al_M99_210713,29a,29,1,0,0,43.602819,0.4,0,0,29,-34,31,S29a_fcc_n29_-34_31,29,-31,34,-29,-1,-46,0.51664,0.19374,2,9,8,-551,-170,329,29,-34,31,2,1,12,-551,-350,121,29,-46,-1,1154,1136,495,struct_S29a_fcc_N29_n34_31_Al_M99_210713.1136.out
S137a_fcc_Nn49_41_161_Al_M99_200714,137a,137,3,3,1,21.4625484,0.1304348,0.1304348,0.0434783,-49,41,161,S137a_fcc_n-49_41_161,41,-49,161,5,7,-173,0.1523362,0.8098612,-15,-14,-1,2213,-2464,1301,-49,41,161,-14,-15,-1,2600,-2429,35,-7,-5,173,5658,15,474,struct_S137a_fcc_Nn49_41_161_Al_M99_200714.15.out
S279a_fcc_Nn179_5_53_Al_M99_200714,279a,279,5,1,1,17.8965511,0.1515152,0.030303,0.030303,-179,5,53,S279a_fcc_n-179_5_53,175,23,-61,-179,5,53,0.6884011,0.3497081,-1,-4,-3,197,-590,721,-179,5,53,-1,-3,-4,275,-761,502,-175,-23,61,10971,2118,443,struct_S279a_fcc_Nn179_5_53_Al_M99_200714.2118.out
S165h_fcc_Nn23_91_65_Al_M99_200714,165h,165,9,7,1,52.9127632,0.3913043,0.3043478,0.0434783,-23,91,65,S165h_fcc_n-23_91_65,25,23,109,23,-91,-65,-0.0178287,-0.6709807,13,4,-1,-117,274,-425,-23,91,65,11,7,-4,-285,433,-26,25,23,109,9952,7069,451,struct_S165h_fcc_Nn23_91_65_Al_M99_200714.7069.out
S47b_fcc_Nn123_67_107_Al_M99_201228,47b,47,3,2,0,43.6637379,0.3333333,0.2222222,0,-123,67,107,S47b_fcc_n-123_67_107,-63,-23,163,123,-67,-107,-0.20261,0.234053,-11,-17,-2,1685,-1423,2828,-123,67,107,-13,-14,-7,2443,-2560,583,-63,-23,163,7789,5560,477,struct_S47b_fcc_Nn123_67_107_Al_M99_201228.5560.out
S69b_fcc_N28_n13_40_Al_M99_200714,69b,69,3,2,2,41.094788,0.2727273,0.1818182,0.1818182,28,-13,40,S69b_fcc_n28_-13_40,28,40,-13,-44,-19,16,0.3996231,0.2164903,-1,4,2,-62,-32,33,28,-13,40,-1,2,4,-34,-65,24,44,-16,19,4814,4221,491,struct_S69b_fcc_N28_n13_40_Al_M99_200714.4221.out
S201e_fcc_Nn43_n33_79_Al_M99_210630,201e,201,4,4,3,37.2483058,0.2105263,0.2105263,0.1578947,-43,-33,79,S201e_fcc_n-43_-33_79,11,-209,197,43,33,-79,-0.0876086,0.7724297,2,-5,-1,428,115,281,-43,-33,79,7,-10,-11,1423,500,451,11,-209,197,5065,4487,538,struct_S201e_fcc_Nn43_n33_79_Al_M99_210630.4487.out
