,Energies,files
0,507.0,struct_S253g_fcc_N36_n87_109_Al_M99_200714.5399.out
1,364.0,struct_S559q_fcc_Nn17_77_153_Al_M99_200714.4045.out
2,455.0,struct_S85c_fcc_Nn3_99_115_Al_M99_200714.1631.out
3,495.0,struct_S29a_fcc_N29_n34_31_Al_M99_210713.1136.out
4,474.0,struct_S137a_fcc_Nn49_41_161_Al_M99_200714.15.out
5,443.0,struct_S279a_fcc_Nn179_5_53_Al_M99_200714.2118.out
6,451.0,struct_S165h_fcc_Nn23_91_65_Al_M99_200714.7069.out
7,477.0,struct_S47b_fcc_Nn123_67_107_Al_M99_201228.5560.out
8,491.0,struct_S69b_fcc_N28_n13_40_Al_M99_200714.4221.out
9,538.0,struct_S201e_fcc_Nn43_n33_79_Al_M99_210630.4487.out
10,465.0,struct_S73b_fcc_Nn188_n177_66_Al_M99_210716.120.out
11,474.0,struct_S229j_fcc_Nn137_n125_177_Al_M99_210712.3015.out
12,458.0,struct_S99c_fcc_N35_25_41_Al_M99_210721.4133.out
13,519.0,struct_S99c_fcc_Nn20_47_19_Al_M99_200714.4959.out
14,554.0,struct_S245d_fcc_Nn157_n26_20_Al_M99_200714.3255.out
15,548.0,struct_S197c_fcc_Nn11_n46_18_Al_M99_200714.4096.out
16,492.0,struct_S127b_fcc_N27_n31_183_Al_M99_200714.4709.out
17,408.0,struct_S197g_fcc_Nn215_118_676_Al_M99_210630.31.out
18,507.0,struct_S49b_fcc_N19_27_25_Al_M99_210715.1934.out
19,540.0,struct_S105b_fcc_Nn10_n79_83_Al_M99_200714.1198.out
20,563.0,struct_S139b_fcc_Nn8_67_112_Al_M99_200714.4166.out
21,513.0,struct_S131e_fcc_Nn283_64_241_Al_M99_210622.1256.out
22,490.0,struct_S139b_fcc_Nn113_95_53_Al_M99_200714.2494.out
23,553.0,struct_S215e_fcc_N75_118_4_Al_M99_200714.3110.out
24,510.0,struct_S197c_fcc_Nn53_47_33_Al_M99_200714.4417.out
25,492.0,struct_S199c_fcc_Nn150_n95_64_Al_M99_210630.2559.out
26,514.0,struct_S143b_fcc_N123_119_5_Al_M99_200714.2110.out
27,449.0,struct_S245j_fcc_N4_n5_20_Al_M99_200714.4912.out
28,391.0,struct_S43a_fcc_Nn1_n6_7_Al_M99_220118.24.out
29,563.0,struct_S49c_fcc_Nn50_23_3_Al_M99_201228.1264.out
30,516.0,struct_S85e_fcc_N79_n17_75_Al_M99_200714.510.out
31,467.0,struct_S29b_fcc_Nn13_n2_30_Al_M99_210713.1233.out
32,520.0,struct_S15_fcc_Nn34_n7_5_Al_M99_201228.1151.out
33,431.0,struct_S165h_fcc_N31_n137_515_Al_M99_210630.2174.out
34,497.0,struct_S53a_fcc_N13_n1_28_Al_M99_210716.4264.out
35,537.0,struct_S283a_fcc_Nn273_141_31_Al_M99_210713.2103.out
36,547.0,struct_S447h_fcc_N302_29_22_Al_M99_200714.807.out
37,494.0,struct_S529k_fcc_Nn89_58_102_Al_M99_200714.9446.out
38,495.0,struct_S225i_fcc_N11_n173_415_Al_M99_210712.95.out
39,514.0,struct_S215e_fcc_N50_n36_17_Al_M99_200714.9927.out
40,479.0,struct_S549h_fcc_N301_n125_55_Al_M99_200714.6821.out
41,552.0,struct_S35a_fcc_Nn3_1_0_Al_M99_210714.565.out
42,519.0,struct_S55b_fcc_Nn69_n90_8_Al_M99_210528.1508.out
43,493.0,struct_S97b_fcc_Nn61_n39_53_Al_M99_200714.1576.out
44,527.0,struct_S43c_fcc_Nn17_n115_26_Al_M99_210730.301.out
45,483.0,struct_S153e_fcc_N179_29_43_Al_M99_200714.559.out
46,535.0,struct_S47b_fcc_Nn76_n27_13_Al_M99_201228.872.out
47,569.0,struct_S79c_fcc_Nn270_229_36_Al_M99_211122.711.out
48,590.0,struct_S143b_fcc_Nn145_827_787_Al_M99_210629.423.out
49,525.0,struct_S79c_fcc_N113_25_243_Al_M99_211122.942.out
50,403.0,struct_S43a_fcc_N71_n47_19_Al_M99_210802.499.out
51,453.0,struct_S17b_fcc_N2_14_19_Al_M99_210630.393.out
52,540.0,struct_S99c_fcc_Nn20_n52_19_Al_M99_200714.1759.out
53,526.0,struct_S447h_fcc_Nn194_n140_125_Al_M99_210715.3247.out
54,453.0,struct_S171g_fcc_Nn119_n79_17_Al_M99_200714.4796.out
55,479.0,struct_S243h_fcc_Nn31_151_275_Al_M99_210712.590.out
56,576.0,struct_S143b_fcc_Nn95_315_131_Al_M99_200714.2758.out
57,555.0,struct_S225i_fcc_N127_89_5_Al_M99_200714.10382.out
58,562.0,struct_S245d_fcc_N149_407_45_Al_M99_200714.4095.out
59,478.0,struct_S33a_fcc_N23_n89_113_Al_M99_201228.1297.out
60,544.0,struct_S83c_fcc_Nn11_n51_10_Al_M99_200714.4843.out
61,549.0,struct_S43b_fcc_N35_n113_29_Al_M99_210714.416.out
62,495.0,struct_S55a_fcc_N12_8_1_Al_M99_210528.2527.out
63,575.0,struct_S297e_fcc_N167_n41_47_Al_M99_200714.11111.out
64,433.0,struct_S15_fcc_Nn1_2_5_Al_M99_201228.4330.out
65,558.0,struct_S325c_fcc_N54_n150_47_Al_M99_200714.4191.out
66,555.0,struct_S45a_fcc_Nn1_25_23_Al_M99_201228.6798.out
67,470.0,struct_S369k_fcc_Nn25_199_47_Al_M99_200714.12335.out
68,479.0,struct_S169e_fcc_N65_n11_75_Al_M99_210630.7758.out
69,474.0,struct_S73e_fcc_Nn11_39_16_Al_M99_200714.878.out
70,519.0,struct_S201e_fcc_Nn21_n13_23_Al_M99_210701.5903.out
71,443.0,struct_S75d_fcc_Nn49_95_293_Al_M99_211122.1343.out
72,567.0,struct_S529k_fcc_Nn54_267_50_Al_M99_200714.4757.out
73,413.0,struct_S103e_fcc_N251_253_171_Al_M99_210624.1655.out
74,428.0,struct_S45c_fcc_N20_17_16_Al_M99_201228.2381.out
75,382.0,struct_S647q_fcc_N80_n26_161_Al_M99_200714.8991.out
76,528.0,struct_S325c_fcc_N139_n25_127_Al_M99_200714.10111.out
77,496.0,struct_S49c_fcc_Nn4_1_5_Al_M99_201228.2382.out
78,586.0,struct_S609s_fcc_Nn53_n593_461_Al_M99_210716.1207.out
79,475.0,struct_S225i_fcc_Nn203_179_305_Al_M99_210712.991.out
80,404.0,struct_S85c_fcc_Nn32_36_65_Al_M99_211122.3445.out
81,468.0,struct_S137e_fcc_Nn5_27_43_Al_M99_200714.13013.out
82,556.0,struct_S35a_fcc_Nn39_58_55_Al_M99_201228.4638.out
83,547.0,struct_S81a_fcc_Nn149_197_73_Al_M99_211122.1935.out
84,559.0,struct_S81a_fcc_Nn67_n143_35_Al_M99_200714.2150.out
85,507.0,struct_S229e_fcc_Nn19_22_23_Al_M99_220118.7436.out
86,492.0,struct_S199c_fcc_N347_107_173_Al_M99_210630.1439.out
87,487.0,struct_S215f_fcc_N105_n63_109_Al_M99_210701.9326.out
88,487.0,struct_S11_fcc_N71_n49_29_Al_M99_210625.367.out
89,573.0,struct_S87d_fcc_Nn32_152_29_Al_M99_211122.1007.out
90,502.0,struct_S169e_fcc_N65_n89_23_Al_M99_200714.1695.out
91,501.0,struct_S25b_fcc_N18_n10_1_Al_M99_210712.160.out
92,557.0,struct_S97b_fcc_Nn3_76_36_Al_M99_200714.388.out
93,581.0,struct_S549h_fcc_Nn13_341_377_Al_M99_200714.5687.out
94,359.0,struct_S145h_fcc_Nn21_n15_173_Al_M99_200714.6181.out
95,584.0,struct_S125e_fcc_Nn373_n211_35_Al_M99_210622.2832.out
96,405.0,struct_S999ae_fcc_Nn11_n14_33_Al_M99_220118.79.out
97,476.0,struct_S63a_fcc_Nn7_5_5_Al_M99_200714.5391.out
98,526.0,struct_S73e_fcc_N36_25_14_Al_M99_211122.2847.out
99,544.0,struct_S51c_fcc_N64_n23_4_Al_M99_201228.1342.out
